Latitude,Longitude,cluster
51.632115999999996,-1.710573,-1
51.585081,-1.7758349999999998,0
51.590482,-1.784297,0
51.588001,-1.7797330000000002,0
51.594224,-1.7802080000000002,0
51.596927,-1.7828509999999997,0
51.59253,-1.788127,0
51.59253,-1.788127,0
51.593076,-1.772418,0
51.588516999999996,-1.762784,0
51.583441,-1.7694349999999999,0
51.585224,-1.7706389999999999,0
51.583420000000004,-1.813498,0
51.584621999999996,-1.775636,0
51.579206,-1.78852,0
51.613361,-1.7969979999999999,0
51.636955,-1.746334,-1
51.606165000000004,-1.8227330000000002,0
51.538152000000004,-1.7277069999999999,0
51.528711,-1.665143,-1
51.54741,-1.673471,-1
51.569807,-1.7590439999999998,0
51.570171,-1.761264,0
51.569563,-1.745714,0
51.567712,-1.746214,0
51.574872,-1.73515,0
51.588159999999995,-1.7513400000000001,0
51.588159999999995,-1.7513400000000001,0
51.588063,-1.747775,0
51.574833,-1.7772709999999998,0
51.577003999999995,-1.779252,0
51.576477000000004,-1.766916,0
51.572857,-1.777959,0
51.569943,-1.782778,0
51.572325,-1.797527,0
51.568895,-1.784702,0
51.57248,-1.7881479999999998,0
51.570335,-1.7904080000000002,0
51.562589,-1.7981040000000001,0
51.563528999999996,-1.8009560000000002,0
51.562441,-1.83,0
51.567142,-1.828396,0
51.563662,-1.77532,0
51.564256,-1.7852430000000001,0
51.560421000000005,-1.792214,0
51.558628000000006,-1.795222,0
51.560491999999996,-1.797118,0
51.562244,-1.7498369999999999,0
51.560606,-1.753452,0
51.559111,-1.7608169999999999,0
51.565211,-1.7584330000000001,0
51.567254,-1.7638909999999999,0
51.559314,-1.7772310000000002,0
51.557261,-1.7662069999999999,0
51.557462,-1.837462,0
51.56004,-1.835837,0
51.559463,-1.784847,0
51.553358,-1.7750540000000001,0
51.557328000000005,-1.746763,0
51.548291,-1.7462790000000001,0
51.551938,-1.7486959999999998,0
51.553748999999996,-1.792071,0
51.552658,-1.7807689999999998,0
51.550474,-1.796066,0
51.550323999999996,-1.7926490000000002,0
51.555873,-1.8331400000000002,0
51.547859,-1.730057,0
51.549890000000005,-1.7257770000000001,0
51.544463,-1.7312599999999998,0
51.552537,-1.7738459999999998,0
51.545082,-1.746629,0
51.545921,-1.756704,0
51.546038,-1.770172,0
51.546172999999996,-1.774743,0
51.543965,-1.737593,0
51.543965,-1.737593,0
51.543965,-1.737593,0
51.529319,-1.79224,0
51.542747999999996,-1.8414220000000001,0
51.536977,-1.7857459999999998,0
51.524167999999996,-1.7927819999999999,0
51.60334,-1.833963,0
51.605643,-1.8000650000000002,0
51.598345,-1.791752,0
51.59771,-1.7882330000000002,0
51.598288000000004,-1.78475,0
51.606699,-1.7973599999999998,0
51.594861,-1.7942220000000002,0
51.594861,-1.7942220000000002,0
51.594056,-1.7966939999999998,0
51.594861,-1.7942220000000002,0
51.594861,-1.7942220000000002,0
51.597944,-1.798857,0
51.598405,-1.795318,0
51.586176,-2.1013319999999998,-1
51.573875,-1.877965,-1
51.551282,-2.2416419999999997,-1
51.548644,-1.8536740000000003,0
51.463724,-2.198196,-1
51.515135,-2.120773,-1
51.471865,-2.1316580000000003,1
51.471821999999996,-2.112524,1
51.459666,-2.137913,1
51.462044,-2.133947,1
51.462645,-2.1352439999999997,1
51.458728,-2.132095,1
51.459465,-2.1241369999999997,1
51.453431,-2.125172,1
51.458483,-2.117356,1
51.453826,-2.1168400000000003,1
51.452802,-2.106763,1
51.455366999999995,-2.112972,1
51.463212,-2.108515,1
51.463212,-2.108515,1
51.459953999999996,-1.7059919999999997,-1
51.385911,-1.758027,-1
51.409384,-1.678092,-1
51.459953999999996,-1.7059919999999997,-1
51.435909,-1.7788959999999998,-1
51.414458,-1.855425,-1
51.428465,-1.8544459999999998,-1
51.420883,-1.845827,-1
51.448,-2.096967,1
51.445657000000004,-1.9945119999999998,-1
51.446161,-2.0009580000000002,-1
51.434625,-2.002886,-1
51.437816,-2.005591,-1
51.424788,-1.995061,-1
51.429127,-2.221865,-1
51.424775,-2.2221029999999997,-1
51.418857,-1.7108139999999998,-1
51.429512,-1.7296470000000002,-1
51.419376,-1.7326689999999998,-1
51.419428,-1.7563540000000002,-1
51.417077,-1.7338189999999998,-1
51.381809000000004,-2.128956,-1
51.373431,-2.126907,-1
51.360935999999995,-2.12308,-1
51.3742,-2.138072,-1
51.344656,-1.7287540000000001,-1
51.414818,-1.7027439999999998,-1
51.414818,-1.7027439999999998,-1
51.414818,-1.7027439999999998,-1
51.359409,-1.8467799999999999,-1
51.359079,-1.842472,-1
51.363048,-1.97223,-1
51.354815,-1.994695,-1
51.341249,-2.245631,-1
51.341337,-2.251015,-1
51.323289,-1.618206,-1
51.332589,-2.170486,2
51.323171,-2.211394,2
51.32257,-2.210458,2
51.318762,-2.208016,2
51.321704,-2.206809,2
51.323171,-2.211394,2
51.320792,-2.208958,2
51.318318,-2.214901,2
51.329355,-2.202064,2
51.32652,-2.203831,2
51.324578,-2.203493,2
51.32096,-2.195182,2
51.319882,-2.199712,2
51.323367,-2.201966,2
51.323367,-2.201966,2
51.318437,-2.187237,2
51.319537,-2.190986,2
51.319713,-2.1932400000000003,2
51.313113,-2.2237869999999997,2
51.367758,-1.966725,-1
51.288732,-1.9740520000000001,-1
51.274608,-1.9949189999999999,-1
51.316398,-2.207632,2
51.313423,-2.211636,2
