longitude,latitude
-0.098703561,51.46562112
-0.122225606,51.48876825
-0.120653086,51.48864513
-0.120655171,51.48858373
-0.122234809,51.4888136
-0.09310249,51.43574426
-0.103481049,51.45688988
-0.099256716,51.46195997
-0.104218211,51.44152839
-0.098997925,51.46175156
-0.098992115,51.46151156
-0.09875927,51.46135394
-0.118932109,51.46508899
-0.118881785,51.4650146
-0.101704481,51.45755192
-0.101641655,51.45775149
-0.118211,51.44524534
-0.101312909,51.45790648
-0.101171267,51.45818298
-0.100850271,51.45833035
-0.100730585,51.45858553
-0.101646849,51.47285332
-0.137817217,51.41409059
-0.128448946,51.46964457
-0.128470424,51.46982652
-0.128543,51.47003862
-0.128593492,51.41239608
-0.1277027,51.4123317
-0.127274534,51.41250662
-0.126595417,51.41275295
-0.128847829,51.47021835
-0.128930082,51.4704588
-0.092578464,51.4644698
-0.129243618,51.47055747
-0.092200293,51.46449388
-0.130988873,51.46700825
-0.091877297,51.46466106
-0.129503944,51.46868515
-0.129590121,51.46840424
-0.129973321,51.46820971
-0.130058193,51.46793861
-0.130512618,51.46767454
-0.130528433,51.46746374
-0.130941903,51.46727686
-0.129389446,51.47069855
-0.129474897,51.4709492
-0.121281723,51.46341
-0.121038002,51.46323704
-0.121017881,51.46300377
-0.091535697,51.4645776
-0.091114634,51.46468646
-0.135501979,51.46019988
-0.135846438,51.46010699
-0.136039633,51.45999112
-0.136212941,51.45989657
-0.143421543,51.46250335
-0.133538021,51.45911599
-0.11687529,51.50285401
-0.144093509,51.46221177
-0.114830706,51.42807463
-0.115238346,51.42799013
-0.118673103,51.42601373
-0.143816452,51.46229886
-0.137129113,51.41315213
-0.136752985,51.41296391
-0.140226667,51.41405155
-0.139428762,51.41384667
-0.139000372,51.413772
-0.138652638,51.41359253
-0.13825089,51.41352587
-0.137949262,51.41336202
-0.137577817,51.41330174
-0.145682969,51.46182186
-0.141855311,51.46362033
-0.142162851,51.46351406
-0.142494989,51.46322299
-0.142676147,51.46306034
-0.142777055,51.46281324
-0.142976563,51.46260209
-0.144771442,51.46202382
-0.145098635,51.46203153
-0.145918487,51.46160513
-0.133309168,51.45910209
-0.145357796,51.46185311
-0.133469745,51.4592238
-0.13224679,51.46292303
-0.141410155,51.46530023
-0.11477967,51.4999535
-0.121036185,51.46751002
-0.133683003,51.45284935
-0.137257034,51.46361258
-0.115402613,51.50036847
-0.115431498,51.50037717
-0.115464956,51.50038875
-0.138027361,51.46351047
-0.138337176,51.46343414
-0.115486354,51.50039502
-0.137477009,51.42642671
-0.118339722,51.43654592
-0.132081307,51.44442313
-0.131866,51.44466926
-0.138598482,51.46337124
-0.138542352,51.46319828
-0.1323474,51.44428329
-0.130933541,51.45968586
-0.131236418,51.45956156
-0.131617137,51.45966809
-0.13191904,51.4596337
-0.132250934,51.45959191
-0.132580527,51.45951834
-0.132906683,51.45944077
-0.133105178,51.45922853
-0.13253593,51.46278879
-0.12927365,51.45981661
-0.13253449,51.46262091
-0.13220453,51.46249545
-0.132954311,51.4715908
-0.132725098,51.47135046
-0.096185582,51.43642451
-0.133572191,51.45931494
-0.133541751,51.4594877
-0.133753648,51.45960854
-0.133961194,51.4595052
-0.134054346,51.45980217
-0.134197288,51.45969457
-0.134419543,51.45995861
-0.13452057,51.45988603
-0.129687299,51.45964575
-0.134758445,51.46012011
-0.134856058,51.46004297
-0.13510417,51.46029084
-0.135202774,51.46021148
-0.1353826,51.46045714
-0.135502188,51.46039272
-0.135684269,51.46051688
-0.135902735,51.46067547
-0.136117962,51.46084736
-0.136273227,51.4610998
-0.129714346,51.45977643
-0.136643466,51.46139794
-0.098308441,51.46249504
-0.137087366,51.46167702
-0.137356686,51.46173596
-0.137453622,51.46196274
-0.130168287,51.45961028
-0.130147543,51.45976564
-0.130562656,51.45958088
-0.130528307,51.45971691
-0.130921408,51.4595644
-0.098645077,51.46244017
-0.098928319,51.46223071
-0.102672648,51.43227637
-0.102292209,51.43226801
-0.102263952,51.43247589
-0.120715964,51.48424512
-0.135545358,51.46675741
-0.135849272,51.46665623
-0.136145539,51.46657605
-0.136461555,51.4664981
-0.107532771,51.43111228
-0.10775634,51.43133181
-0.107896081,51.43158965
-0.108228648,51.43178745
-0.108461313,51.43201447
-0.108614969,51.43227695
-0.098845102,51.4385271
-0.098849793,51.43827345
-0.098627734,51.43806448
-0.098625659,51.43779794
-0.098396988,51.43757244
-0.098393418,51.43730678
-0.09816856,51.43709504
-0.106492361,51.43368431
-0.106563688,51.43393854
-0.108315476,51.48402387
-0.108099165,51.48386635
-0.107931712,51.48397047
-0.123220872,51.41510131
-0.123171189,51.41508749
-0.124434815,51.41554367
-0.124178582,51.41551368
-0.124073753,51.41534763
-0.123795187,51.41524748
-0.108620606,51.48415053
-0.092173614,51.42462582
-0.107586821,51.48384317
-0.101073691,51.46399352
-0.101245559,51.46370411
-0.101267208,51.46349821
-0.101156556,51.46325989
-0.101344205,51.46303212
-0.138999812,51.4626702
-0.138707945,51.46276907
-0.101227826,51.46283708
-0.126651172,51.45151854
-0.126629988,51.4513195
-0.101345835,51.4625509
-0.136682385,51.45800631
-0.139223733,51.46248741
-0.102976473,51.42539486
-0.10269668,51.42546386
-0.102416275,51.42536445
-0.098857975,51.42612326
-0.095876686,51.42656937
-0.14285704,51.45840491
-0.113047908,51.46646354
-0.106544784,51.46680466
-0.109447874,51.4659911
-0.103332504,51.42550024
-0.112785376,51.46653267
-0.112688048,51.46673489
-0.112525838,51.46706838
-0.112173632,51.4682917
-0.112258593,51.4684691
-0.111884719,51.46889736
-0.112223701,51.46890282
-0.112041601,51.46970128
-0.120742225,51.4336667
-0.101171215,51.46233855
-0.101265935,51.46217148
-0.101200774,51.46194208
-0.118706801,51.42333064
-0.101286818,51.46173149
-0.101393039,51.46144512
-0.101586446,51.46123627
-0.101695487,51.46094503
-0.119777864,51.42316826
-0.101771474,51.46072541
-0.12206571,51.48634387
-0.121975162,51.48644429
-0.11558285,51.43257694
-0.097817704,51.46194826
-0.098133869,51.46189648
-0.098351295,51.46171503
-0.098656244,51.46158074
-0.136745654,51.46700442
-0.136424556,51.46700687
-0.136164156,51.46707188
-0.093205119,51.46078225
-0.093415887,51.46098073
-0.093811862,51.46108371
-0.139790345,51.45555061
-0.139702713,51.45524786
-0.139477187,51.45506326
-0.139071203,51.45494002
-0.13889739,51.4547291
-0.138607257,51.4545679
-0.138214148,51.45444848
-0.122700793,51.44976502
-0.122312179,51.44965608
-0.101744507,51.46047027
-0.101828503,51.46023894
-0.102049744,51.45994948
-0.102130131,51.45971931
-0.102206228,51.45950496
-0.102429849,51.45888678
-0.100965912,51.46656736
-0.102369554,51.45872049
-0.121905007,51.44964872
-0.121267867,51.44946762
-0.120913083,51.44936515
-0.127113282,51.42795703
-0.12080006,51.44916983
-0.120484547,51.44874884
-0.120183876,51.44851017
-0.120127858,51.44823332
-0.119908354,51.44792301
-0.11964022,51.44774201
-0.119613716,51.44744983
-0.119244913,51.44722961
-0.118535432,51.436335
-0.118834534,51.43627551
-0.097663808,51.42375595
-0.101024351,51.46636717
-0.101311223,51.4662627
-0.101745225,51.46623652
-0.101925115,51.46600129
-0.102369543,51.46598002
-0.102525401,51.46577476
-0.121582799,51.47336299
-0.114839192,51.50000089
-0.114891214,51.50004315
-0.114938866,51.50007951
-0.114974064,51.50011386
-0.114986104,51.50012313
-0.115005574,51.50013553
-0.115021504,51.50014889
-0.121625265,51.4733063
